241	дань	27	0.001
242	заходить	27	0.001
243	погреб	27	0.001
244	апраксия	27	0.001
245	спустить	27	0.001
246	милый	26	0.001
247	голов	26	0.001
248	прийти	26	0.001
249	время	26	0.001
250	мужик	26	0.001
251	богатый	26	0.001
252	товар	26	0.001
253	туй	26	0.001
254	алешенек	26	0.001
255	камешек	26	0.001
256	посмотреть	26	0.001
257	силушка	26	0.001
258	володимир	26	0.001
259	святогор	26	0.001
260	оставить	25	0.001
261	дорога	25	0.001
262	разбойник	25	0.001
263	сильный	25	0.001
264	велик	25	0.001
265	играть	25	0.001
266	кой	25	0.001
267	перехожий	25	0.001
268	бог	25	0.001
269	тихий	25	0.001
270	пошлина	25	0.001
271	бросить	25	0.001
272	посол	25	0.001
273	озеро	24	0.001
274	свет	24	0.001
275	вдова	24	0.001
276	сердце	24	0.001
277	поклоняться	24	0.001
278	который	24	0.001
279	честный	24	0.001
280	кричать	24	0.001
281	вси	24	0.001
282	вера	24	0.001
283	дорожка	24	0.001
284	микулич	24	0.001
285	калин	24	0.001
286	святой	23	0.001
287	семь	23	0.001
288	втапора	23	0.001
289	стоялый	23	0.001
290	писать	23	0.001
291	поди	23	0.001
292	белокаменный	23	0.001
293	спать	23	0.001
294	назад	23	0.001
295	право	23	0.001
296	мнить	23	0.001
297	братьице	23	0.001
298	неверный	23	0.001
299	вахрамея	23	0.001
300	данил	23	0.001
301	ради	23	0.001
302	свезти	23	0.001
303	новый	22	0.001
304	дружинушка	22	0.001
305	чадо	22	0.001
306	подать	22	0.001
307	родимый	22	0.001
308	стрелочка	22	0.001
309	вести	22	0.001
310	железный	22	0.001
311	приезжать	22	0.001
312	отечество	22	0.001
313	замуж	22	0.001
314	чурил	22	0.001
315	нету	22	0.001
316	глубокий	22	0.001
317	нунуть	22	0.001
318	седлать	22	0.001
319	похаживать	21	0.001
320	жемчуг	21	0.001
321	кормить	21	0.001
322	новгородский	21	0.001
323	ярлык	21	0.001
324	гридня	21	0.001
325	простить	21	0.001
326	хватить	21	0.001
327	принести	21	0.001
328	купец	21	0.001
329	шёлковый	21	0.001
330	белые	21	0.001
331	пришлый	21	0.001
332	вон	21	0.001
333	хотенушко	21	0.001
334	показалось	21	0.001
335	платье	21	0.001
336	вольга	21	0.001
337	наливать	20	0.001
338	соль	20	0.001
339	девушка	20	0.001
340	ударить	20	0.001
341	сени	20	0.001
342	яровчатый	20	0.001
343	верста	20	0.001
344	кланяться	20	0.001
345	найти	20	0.001
346	ле	20	0.001
347	честной	20	0.001
348	потык	20	0.001
349	окулий	20	0.001
350	сабля	20	0.001
351	никуличный	20	0.001
352	тимофей	19	0.001
353	той	19	0.001
354	род	19	0.001
355	мост	19	0.001
356	язык	19	0.001
357	промеж	19	0.001
358	гроб	19	0.001
359	соболь	19	0.001
360	чело	19	0.001
361	ребёнок	19	0.001
362	звериный	19	0.001
363	столб	19	0.001
364	закричать	19	0.001
365	слыть	19	0.001
366	след	19	0.001
367	ох	19	0.001
368	стрела	19	0.001
369	поляница	19	0.001
370	марин	19	0.001
371	постоять	19	0.001
372	тридцать	18	0.0
373	мало	18	0.0
374	сорочинский	18	0.0
375	самый	18	0.0
376	сходить	18	0.0
377	приказать	18	0.0
378	возговорить	18	0.0
379	левый	18	0.0
380	дом	18	0.0
381	скатный	18	0.0
382	убить	18	0.0
383	видно	18	0.0
384	век	18	0.0
385	апраксей	18	0.0
386	час	18	0.0
387	сырой	18	0.0
388	серебряный	18	0.0
389	троить	18	0.0
390	четыре	18	0.0
391	надобный	18	0.0
392	блудо	18	0.0
393	досада	18	0.0
394	тыи	18	0.0
395	тая	18	0.0
396	ответ	18	0.0
397	названый	18	0.0
398	войско	18	0.0
399	проговорить	18	0.0
400	змеиный	18	0.0
401	нож	18	0.0
402	након	18	0.0
403	александр	18	0.0
404	забава	18	0.0
405	мамай	18	0.0
406	муромець	18	0.0
407	ильмень	17	0.0
408	бросать	17	0.0
409	походить	17	0.0
410	камень	17	0.0
411	сто	17	0.0
412	скочить	17	0.0
413	делать	17	0.0
414	скорописчатый	17	0.0
415	почесть	17	0.0
416	стрелять	17	0.0
